ID,stations_name,stations_en_name,area,area_en_name,lon,lat
1001A,万寿西宫,Wanshouxigong,北京,Beijing,116.366,39.8673
1002A,定陵,Dingling,北京,Beijing,116.17,40.2865
1003A,东四,Dongsi,北京,Beijing,116.434,39.9522
1004A,天坛,Tiantan,北京,Beijing,116.434,39.8745
1005A,农展馆,Nongzhanguan,北京,Beijing,116.473,39.9716
1006A,官园,Guanyuan,北京,Beijing,116.361,39.9425
1007A,海淀区万柳,Haidianquwanliu,北京,Beijing,116.315,39.9934
1008A,顺义新城,Shunyixincheng,北京,Beijing,116.72,40.1438
1009A,怀柔镇,Huairouzhen,北京,Beijing,116.644,40.3937
1010A,昌平镇,Changpingzhen,北京,Beijing,116.23,40.1952
1011A,奥体中心,Aotizhongxin,北京,Beijing,116.407,40.0031
1012A,古城,Gucheng,北京,Beijing,116.225,39.9279
1013A,市监测中心,Shijiancezhongxin,天津,Tianjin,117.151,39.097
1014A,机车车辆厂,Jichecheliangchang,天津,Tianjin,117.193,39.173
1015A,继电器厂,Jidianqichang,天津,Tianjin,117.145,39.1654
1016A,南京路,Nanjinglu,天津,Tianjin,117.184,39.1205
1017A,河东站,Hedongzhan,天津,Tianjin,117.237,39.1082
1018A,河西站,Hexizhan,天津,Tianjin,117.202,39.0927
1019A,北辰科技园区,Beichenkejiyuanqu,天津,Tianjin,117.185,39.2261
1020A,天山路,Tianshanlu,天津,Tianjin,117.269,39.1337
1021A,东丽中学,Donglizhongxue,天津,Tianjin,117.307,39.0877
1023A,泰丰工业园,Taifenggongyeyuan,天津,Tianjin,117.707,39.0343
1024A,永明路,Yongminglu,天津,Tianjin,117.457,38.8394
1025A,空港物流加工区,Konggangwuliujiagongqu,天津,Tianjin,117.401,39.124
1026A,中新生态城,Zhongxinshengtaicheng,天津,Tianjin,117.764,39.1587
1027A,团泊洼,Tuanbowa,天津,Tianjin,117.157,38.9194
1028A,化工学校,Huagongxuexiao,石家庄,Shijiazhuang,114.5637,38.0549
1029A,职工医院,Zhigongyiyuan,石家庄,Shijiazhuang,114.4548,38.0513
1030A,高新区,Gaoxinqu,石家庄,Shijiazhuang,114.6046,38.0398
1031A,西北水源,Xibeishuiyuan,石家庄,Shijiazhuang,114.5019,38.1398
1032A,西南高教,Xinangaojiao,石家庄,Shijiazhuang,114.4671,38.0118
1033A,世纪公园,Shijigongyuan,石家庄,Shijiazhuang,114.5483,38.0306
1034A,人民会堂,Renminhuitang,石家庄,Shijiazhuang,114.5214,38.0524
1035A,封龙山,Fenglongshan,石家庄,Shijiazhuang,114.3541,37.9097
1036A,供销社,Gongxiaoshe,唐山,Tangshan,118.1662,39.6308
1037A,雷达站,Leidazhan,唐山,Tangshan,118.144,39.643
1038A,物资局,Wuziju,唐山,Tangshan,118.1853,39.6407
1039A,陶瓷公司,Taocigongsi,唐山,Tangshan,118.2185,39.6679
1040A,十二中,Shierzhong,唐山,Tangshan,118.1838,39.65782
1041A,小山,Xiaoshan,唐山,Tangshan,118.1997,39.6295
1042A,北戴河环保局,Beidaihehuanbaoju,秦皇岛,Qinhuangdao,119.5259,39.8283
1043A,第一关,Diyiguan,秦皇岛,Qinhuangdao,119.7624,40.0181
1044A,监测站,Jiancezhan,秦皇岛,Qinhuangdao,119.6023,39.9567
1045A,市政府,Shizhengfu,秦皇岛,Qinhuangdao,119.607,39.9358
1046A,建设大厦,Jianshedasha,秦皇岛,Qinhuangdao,119.5369,39.9419
1047A,环保局,Huanbaoju,邯郸,Handan,114.5129,36.61763
1048A,东污水处理厂,Dongwushuichulichang,邯郸,Handan,114.5426,36.6164
1049A,矿院,Kuangyuan,邯郸,Handan,114.5035,36.5776
1050A,丛台公园,Congtaigongyuan,邯郸,Handan,114.4965,36.61981
1051A,游泳馆,Youyongguan,保定,Baoding,115.493,38.8632
1052A,华电二区,Huadianerqu,保定,Baoding,115.5223,38.8957
1053A,接待中心,Jiedaizhongxin,保定,Baoding,115.4713,38.9108
1054A,地表水厂,Dibiaoshuichang,保定,Baoding,115.4612,38.8416
1055A,胶片厂,Jiaopianchang,保定,Baoding,115.442,38.8756
1056A,监测站,Jiancezhan,保定,Baoding,115.5214,38.8707
1057A,人民公园,Renmingongyuan,张家口,Zhangjiakou,114.8985,40.8367
1058A,探机厂,Tanjichang,张家口,Zhangjiakou,114.892,40.79481
1059A,五金库,Wujinku,张家口,Zhangjiakou,114.8814,40.8115
1060A,世纪豪园,Shijihaoyuan,张家口,Zhangjiakou,114.9032,40.7688
1061A,北泵房,Beibengfang,张家口,Zhangjiakou,114.904,40.8725
1062A,铁路,Tielu,承德,Chengde,117.9664,40.9161
1063A,中国银行,Zhongguoyinxing,承德,Chengde,117.9525,40.9843
1064A,开发区,Kaifaqu,承德,Chengde,117.963,40.9359
1065A,文化中心,Wenhuazhongxin,承德,Chengde,117.8184,40.9733
1066A,离宫,Ligong,承德,Chengde,117.9384,41.0112
1067A,药材公司,Yaocaigongsi,廊坊,Langfang,116.6838,39.5178
1068A,开发区,Kaifaqu,廊坊,Langfang,116.7729,39.5747
1069A,环境监测监理中心,Huanjingjiancejianlizhongxin,廊坊,Langfang,116.715,39.5571
1070A,北华航天学院,Beihuahangtianxueyuan,廊坊,Langfang,116.7464,39.5343
1071A,沧县城建局,Cangxianchengjianju,沧州,Cangzhou,116.8854,38.2991
1072A,电视转播站,Dianshizhuanbozhan,沧州,Cangzhou,116.8584,38.3254
1073A,市环保局,Shihuanbaoju,沧州,Cangzhou,116.8709,38.3228
1074A,电机北厂,Dianjibeichang,衡水,Hengshui,115.6951,37.7575
